tag	cell	method	stage	metrics
cap_fxmm_qw_qa_uns	qw_qa	unsteered	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.7349
cap_fxaw_qw_qa_uns	qw_qa	unsteered	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.5265 ARC_CHALLENGE/ACC_NORM: 0.5503 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 10.0472 WIKITEXT/BYTE_PERPLEXITY: 1.5395 WIKITEXT/BITS_PER_BYTE: 0.6225
cap_ctmm_qw_qa_uns	qw_qa	unsteered	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.7000
cap_ctaw_qw_qa_uns	qw_qa	unsteered	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4582 ARC_CHALLENGE/ACC_NORM: 0.4317 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 10.0472 WIKITEXT/BYTE_PERPLEXITY: 1.5395 WIKITEXT/BITS_PER_BYTE: 0.6225
cap_gen_qw_qa_uns	qw_qa	unsteered	generative	MMLU/CHOICE/ACCURACY: 0.6840 MMLU/CHOICE/STDERR: 0.0147 ARC_CHALLENGE/CHOICE/ACCURACY: 0.8930 ARC_CHALLENGE/CHOICE/STDERR: 0.0098
cap_fxmm_qw_qa_iti_qw_qa_a8	qw_qa	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.7349
cap_fxaw_qw_qa_iti_qw_qa_a8	qw_qa	iti	loglik-fx-arcwiki	WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 11.9731 WIKITEXT/BYTE_PERPLEXITY: 1.5909 WIKITEXT/BITS_PER_BYTE: 0.6698 ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.5239 ARC_CHALLENGE/ACC_NORM: 0.5469
cap_ctmm_qw_qa_iti_qw_qa_a8	qw_qa	iti	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.6947
cap_ctaw_qw_qa_iti_qw_qa_a8	qw_qa	iti	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4735 ARC_CHALLENGE/ACC_NORM: 0.4403 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 11.9731 WIKITEXT/BYTE_PERPLEXITY: 1.5909 WIKITEXT/BITS_PER_BYTE: 0.6698
cap_gen_qw_qa_iti_qw_qa_a8	qw_qa	iti	generative	MMLU/CHOICE/ACCURACY: 0.6750 MMLU/CHOICE/STDERR: 0.0148 ARC_CHALLENGE/CHOICE/ACCURACY: 0.8910 ARC_CHALLENGE/CHOICE/STDERR: 0.0099
cap_fxmm_qw_qa_iti_qw_qa_k96	qw_qa	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.7349
cap_fxaw_qw_qa_iti_qw_qa_k96	qw_qa	iti	loglik-fx-arcwiki	WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 39.3358 WIKITEXT/BYTE_PERPLEXITY: 1.9872 WIKITEXT/BITS_PER_BYTE: 0.9907 ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4701 ARC_CHALLENGE/ACC_NORM: 0.5017
cap_ctmm_qw_qa_iti_qw_qa_k96	qw_qa	iti	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.7189
cap_ctaw_qw_qa_iti_qw_qa_k96	qw_qa	iti	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4027 ARC_CHALLENGE/ACC_NORM: 0.3925 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 39.3358 WIKITEXT/BYTE_PERPLEXITY: 1.9872 WIKITEXT/BITS_PER_BYTE: 0.9907
cap_gen_qw_qa_iti_qw_qa_k96	qw_qa	iti	generative	MMLU/CHOICE/ACCURACY: 0.6810 MMLU/CHOICE/STDERR: 0.0147 ARC_CHALLENGE/CHOICE/ACCURACY: 0.8870 ARC_CHALLENGE/CHOICE/STDERR: 0.0100
cap_fxmm_qw_qa_iti_qw_qa_k128	qw_qa	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.7349
cap_fxaw_qw_qa_iti_qw_qa_k128	qw_qa	iti	loglik-fx-arcwiki	WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 49.3293 WIKITEXT/BYTE_PERPLEXITY: 2.0731 WIKITEXT/BITS_PER_BYTE: 1.0518 ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4667 ARC_CHALLENGE/ACC_NORM: 0.4966
cap_ctmm_qw_qa_iti_qw_qa_k128	qw_qa	iti	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.7182
cap_ctaw_qw_qa_iti_qw_qa_k128	qw_qa	iti	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4189 ARC_CHALLENGE/ACC_NORM: 0.4010 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 49.3293 WIKITEXT/BYTE_PERPLEXITY: 2.0731 WIKITEXT/BITS_PER_BYTE: 1.0518
cap_gen_qw_qa_iti_qw_qa_k128	qw_qa	iti	generative	MMLU/CHOICE/ACCURACY: 0.6770 MMLU/CHOICE/STDERR: 0.0148 ARC_CHALLENGE/CHOICE/ACCURACY: 0.8840 ARC_CHALLENGE/CHOICE/STDERR: 0.0101
cap_fxmm_qw_qa_sp_qw_qa_l0_ep16_all	qw_qa	sparse	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.7349
cap_fxaw_qw_qa_sp_qw_qa_l0_ep16_all	qw_qa	sparse	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4829 ARC_CHALLENGE/ACC_NORM: 0.5085 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 16.9493 WIKITEXT/BYTE_PERPLEXITY: 1.6977 WIKITEXT/BITS_PER_BYTE: 0.7636
cap_ctmm_qw_qa_sp_qw_qa_l0_ep16_all	qw_qa	sparse	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.6414
cap_ctaw_qw_qa_sp_qw_qa_l0_ep16_all	qw_qa	sparse	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4206 ARC_CHALLENGE/ACC_NORM: 0.4019 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 16.9493 WIKITEXT/BYTE_PERPLEXITY: 1.6977 WIKITEXT/BITS_PER_BYTE: 0.7636
cap_gen_qw_qa_sp_qw_qa_l0_ep16_all	qw_qa	sparse	generative	MMLU/CHOICE/ACCURACY: 0.6470 MMLU/CHOICE/STDERR: 0.0151 ARC_CHALLENGE/CHOICE/ACCURACY: 0.8350 ARC_CHALLENGE/CHOICE/STDERR: 0.0117
cap_fxmm_qw_qa_sp_qw_qa_l0.003_ep16_all	qw_qa	sparse	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.7349
cap_fxaw_qw_qa_sp_qw_qa_l0.003_ep16_all	qw_qa	sparse	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.5188 ARC_CHALLENGE/ACC_NORM: 0.5375 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 14.9781 WIKITEXT/BYTE_PERPLEXITY: 1.6589 WIKITEXT/BITS_PER_BYTE: 0.7302
cap_ctmm_qw_qa_sp_qw_qa_l0.003_ep16_all	qw_qa	sparse	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.6256
cap_ctaw_qw_qa_sp_qw_qa_l0.003_ep16_all	qw_qa	sparse	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4454 ARC_CHALLENGE/ACC_NORM: 0.4104 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 14.9781 WIKITEXT/BYTE_PERPLEXITY: 1.6589 WIKITEXT/BITS_PER_BYTE: 0.7302
cap_gen_qw_qa_sp_qw_qa_l0.003_ep16_all	qw_qa	sparse	generative	MMLU/CHOICE/ACCURACY: 0.6670 MMLU/CHOICE/STDERR: 0.0149 ARC_CHALLENGE/CHOICE/ACCURACY: 0.8610 ARC_CHALLENGE/CHOICE/STDERR: 0.0109
cap_fxmm_qw_ch_uns	qw_ch	unsteered	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.7349
cap_fxaw_qw_ch_uns	qw_ch	unsteered	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.5265 ARC_CHALLENGE/ACC_NORM: 0.5503 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 10.0472 WIKITEXT/BYTE_PERPLEXITY: 1.5395 WIKITEXT/BITS_PER_BYTE: 0.6225
cap_ctmm_qw_ch_uns	qw_ch	unsteered	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.7000
cap_ctaw_qw_ch_uns	qw_ch	unsteered	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4582 ARC_CHALLENGE/ACC_NORM: 0.4317 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 10.0472 WIKITEXT/BYTE_PERPLEXITY: 1.5395 WIKITEXT/BITS_PER_BYTE: 0.6225
cap_gen_qw_ch_uns	qw_ch	unsteered	generative	MMLU/CHOICE/ACCURACY: 0.6840 MMLU/CHOICE/STDERR: 0.0147 ARC_CHALLENGE/CHOICE/ACCURACY: 0.8930 ARC_CHALLENGE/CHOICE/STDERR: 0.0098
cap_fxmm_qw_ch_iti_qw_ch_k96	qw_ch	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.7349
cap_fxaw_qw_ch_iti_qw_ch_k96	qw_ch	iti	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.5077 ARC_CHALLENGE/ACC_NORM: 0.5427 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 12.7191 WIKITEXT/BYTE_PERPLEXITY: 1.6089 WIKITEXT/BITS_PER_BYTE: 0.6861
cap_ctmm_qw_ch_iti_qw_ch_k96	qw_ch	iti	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.6068
cap_ctaw_qw_ch_iti_qw_ch_k96	qw_ch	iti	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4198 ARC_CHALLENGE/ACC_NORM: 0.3976 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 12.7191 WIKITEXT/BYTE_PERPLEXITY: 1.6089 WIKITEXT/BITS_PER_BYTE: 0.6861
cap_gen_qw_ch_iti_qw_ch_k96	qw_ch	iti	generative	MMLU/CHOICE/ACCURACY: 0.6770 MMLU/CHOICE/STDERR: 0.0148 ARC_CHALLENGE/CHOICE/ACCURACY: 0.8810 ARC_CHALLENGE/CHOICE/STDERR: 0.0102
cap_fxmm_qw_ch_sp_qw_ch_l0.003_ep16_all	qw_ch	sparse	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.7349
cap_fxaw_qw_ch_sp_qw_ch_l0.003_ep16_all	qw_ch	sparse	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.5009 ARC_CHALLENGE/ACC_NORM: 0.5410 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 13.8161 WIKITEXT/BYTE_PERPLEXITY: 1.6340 WIKITEXT/BITS_PER_BYTE: 0.7084
