tag	cell	method	stage	metrics
cap_ctmm_ll_qa_sp_ll_qa_l0.01_ep16_all	ll_qa	sparse	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2382
cap_ctaw_ll_qa_sp_ll_qa_l0.01_ep16_all	ll_qa	sparse	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3754 ARC_CHALLENGE/ACC_NORM: 0.3908 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 13.6907 WIKITEXT/BYTE_PERPLEXITY: 1.6312 WIKITEXT/BITS_PER_BYTE: 0.7060
cap_gen_ll_qa_sp_ll_qa_l0.01_ep16_all	ll_qa	sparse	generative	MMLU/CHOICE/ACCURACY: 0.3520 MMLU/CHOICE/STDERR: 0.0151 ARC_CHALLENGE/CHOICE/ACCURACY: 0.4270 ARC_CHALLENGE/CHOICE/STDERR: 0.0156
cap_fxmm_ll_qa_sp_ll_qa_l0_ep16_all	ll_qa	sparse	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.4702
cap_fxaw_ll_qa_sp_ll_qa_l0_ep16_all	ll_qa	sparse	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4317 ARC_CHALLENGE/ACC_NORM: 0.4394 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 15.4159 WIKITEXT/BYTE_PERPLEXITY: 1.6678 WIKITEXT/BITS_PER_BYTE: 0.7380
cap_ctmm_ll_qa_sp_ll_qa_l0_ep16_all	ll_qa	sparse	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2382
cap_ctaw_ll_qa_sp_ll_qa_l0_ep16_all	ll_qa	sparse	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3737 ARC_CHALLENGE/ACC_NORM: 0.3763 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 15.4159 WIKITEXT/BYTE_PERPLEXITY: 1.6678 WIKITEXT/BITS_PER_BYTE: 0.7380
cap_gen_ll_qa_sp_ll_qa_l0_ep16_all	ll_qa	sparse	generative	MMLU/CHOICE/ACCURACY: 0.3560 MMLU/CHOICE/STDERR: 0.0151 ARC_CHALLENGE/CHOICE/ACCURACY: 0.4250 ARC_CHALLENGE/CHOICE/STDERR: 0.0156
cap_fxmm_ll_qa_sp_ll_qa_l0.01_ep8_all	ll_qa	sparse	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.4702
cap_fxaw_ll_qa_sp_ll_qa_l0.01_ep8_all	ll_qa	sparse	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4283 ARC_CHALLENGE/ACC_NORM: 0.4497 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 13.5460 WIKITEXT/BYTE_PERPLEXITY: 1.6280 WIKITEXT/BITS_PER_BYTE: 0.7031
cap_ctmm_ll_qa_sp_ll_qa_l0.01_ep8_all	ll_qa	sparse	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2382
cap_ctaw_ll_qa_sp_ll_qa_l0.01_ep8_all	ll_qa	sparse	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3695 ARC_CHALLENGE/ACC_NORM: 0.3831 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 13.5460 WIKITEXT/BYTE_PERPLEXITY: 1.6280 WIKITEXT/BITS_PER_BYTE: 0.7031
cap_gen_ll_qa_sp_ll_qa_l0.01_ep8_all	ll_qa	sparse	generative	MMLU/CHOICE/ACCURACY: 0.3660 MMLU/CHOICE/STDERR: 0.0152 ARC_CHALLENGE/CHOICE/ACCURACY: 0.4130 ARC_CHALLENGE/CHOICE/STDERR: 0.0156
cap_fxmm_ll_ch_uns	ll_ch	unsteered	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.4702
cap_fxaw_ll_ch_uns	ll_ch	unsteered	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4411 ARC_CHALLENGE/ACC_NORM: 0.4428 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 12.1945 WIKITEXT/BYTE_PERPLEXITY: 1.5963 WIKITEXT/BITS_PER_BYTE: 0.6747
cap_ctmm_ll_ch_uns	ll_ch	unsteered	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2382
cap_ctaw_ll_ch_uns	ll_ch	unsteered	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3541 ARC_CHALLENGE/ACC_NORM: 0.3712 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 12.1945 WIKITEXT/BYTE_PERPLEXITY: 1.5963 WIKITEXT/BITS_PER_BYTE: 0.6747
cap_gen_ll_ch_uns	ll_ch	unsteered	generative	MMLU/CHOICE/ACCURACY: 0.3650 MMLU/CHOICE/STDERR: 0.0152 ARC_CHALLENGE/CHOICE/ACCURACY: 0.4380 ARC_CHALLENGE/CHOICE/STDERR: 0.0157
cap_fxmm_ll_ch_iti_ll_ch_a8	ll_ch	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.4702
cap_fxaw_ll_ch_iti_ll_ch_a8	ll_ch	iti	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4283 ARC_CHALLENGE/ACC_NORM: 0.4283 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 13.5534 WIKITEXT/BYTE_PERPLEXITY: 1.6282 WIKITEXT/BITS_PER_BYTE: 0.7032
cap_ctmm_ll_ch_iti_ll_ch_a8	ll_ch	iti	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2382
cap_ctaw_ll_ch_iti_ll_ch_a8	ll_ch	iti	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3490 ARC_CHALLENGE/ACC_NORM: 0.3703 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 13.5534 WIKITEXT/BYTE_PERPLEXITY: 1.6282 WIKITEXT/BITS_PER_BYTE: 0.7032
cap_gen_ll_ch_iti_ll_ch_a8	ll_ch	iti	generative	MMLU/CHOICE/ACCURACY: 0.3840 MMLU/CHOICE/STDERR: 0.0154 ARC_CHALLENGE/CHOICE/ACCURACY: 0.4540 ARC_CHALLENGE/CHOICE/STDERR: 0.0158
cap_fxmm_ll_ch_iti_ll_ch_k24	ll_ch	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.4702
cap_fxaw_ll_ch_iti_ll_ch_k24	ll_ch	iti	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4172 ARC_CHALLENGE/ACC_NORM: 0.4172 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 14.3257 WIKITEXT/BYTE_PERPLEXITY: 1.6451 WIKITEXT/BITS_PER_BYTE: 0.7182
cap_ctmm_ll_ch_iti_ll_ch_k24	ll_ch	iti	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2382
cap_ctaw_ll_ch_iti_ll_ch_k24	ll_ch	iti	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3413 ARC_CHALLENGE/ACC_NORM: 0.3618 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 14.3257 WIKITEXT/BYTE_PERPLEXITY: 1.6451 WIKITEXT/BITS_PER_BYTE: 0.7182
cap_gen_ll_ch_iti_ll_ch_k24	ll_ch	iti	generative	MMLU/CHOICE/ACCURACY: 0.3790 MMLU/CHOICE/STDERR: 0.0153 ARC_CHALLENGE/CHOICE/ACCURACY: 0.4370 ARC_CHALLENGE/CHOICE/STDERR: 0.0157
cap_fxmm_ll_ch_iti_ll_ch_k128	ll_ch	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.4702
cap_fxaw_ll_ch_iti_ll_ch_k128	ll_ch	iti	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3831 ARC_CHALLENGE/ACC_NORM: 0.3959 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 27.7271 WIKITEXT/BYTE_PERPLEXITY: 1.8614 WIKITEXT/BITS_PER_BYTE: 0.8964
cap_ctmm_ll_ch_iti_ll_ch_k128	ll_ch	iti	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2382
cap_ctaw_ll_ch_iti_ll_ch_k128	ll_ch	iti	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3174 ARC_CHALLENGE/ACC_NORM: 0.3422 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 27.7271 WIKITEXT/BYTE_PERPLEXITY: 1.8614 WIKITEXT/BITS_PER_BYTE: 0.8964
cap_gen_ll_ch_iti_ll_ch_k128	ll_ch	iti	generative	MMLU/CHOICE/ACCURACY: 0.1580 MMLU/CHOICE/STDERR: 0.0115 ARC_CHALLENGE/CHOICE/ACCURACY: 0.1970 ARC_CHALLENGE/CHOICE/STDERR: 0.0126
cap_fxmm_ll_ch_sp_ll_ch_l0_ep16_completion	ll_ch	sparse	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.4702
cap_fxaw_ll_ch_sp_ll_ch_l0_ep16_completion	ll_ch	sparse	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4514 ARC_CHALLENGE/ACC_NORM: 0.4590 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 14.7365 WIKITEXT/BYTE_PERPLEXITY: 1.6538 WIKITEXT/BITS_PER_BYTE: 0.7258
cap_ctmm_ll_ch_sp_ll_ch_l0_ep16_completion	ll_ch	sparse	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2382
cap_ctaw_ll_ch_sp_ll_ch_l0_ep16_completion	ll_ch	sparse	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4027 ARC_CHALLENGE/ACC_NORM: 0.3976 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 14.7365 WIKITEXT/BYTE_PERPLEXITY: 1.6538 WIKITEXT/BITS_PER_BYTE: 0.7258
