tag	cell	method	true	info	mc1	mc2	args
sp_ll_qa_l0_ep8_completion	ll_qa	sparse	0.8700	0.9200	0.4700	0.6720	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=8 steer_token_position=completion
sp_ll_qa_l0_ep8_all	ll_qa	sparse	0.9500	0.8900	0.5600	0.7417	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=8 steer_token_position=all
sp_ll_qa_l0_ep16_completion	ll_qa	sparse	0.8600	0.9200	0.5000	0.6985	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=completion
sp_ll_qa_l0_ep16_all	ll_qa	sparse	0.9500	0.9000	0.5600	0.7420	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=all
sp_ll_qa_l0.003_ep8_completion	ll_qa	sparse	0.8300	0.9200	0.4300	0.6579	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=8 steer_token_position=completion
sp_ll_qa_l0.003_ep8_all	ll_qa	sparse	0.9500	0.8800	0.5700	0.7392	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=8 steer_token_position=all
sp_ll_qa_l0.003_ep16_completion	ll_qa	sparse	0.8300	0.9100	0.4900	0.6874	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=completion
sp_ll_qa_l0.003_ep16_all	ll_qa	sparse	0.9500	0.8900	0.5600	0.7376	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=all
sp_ll_qa_l0.01_ep8_completion	ll_qa	sparse	0.8200	0.9200	0.4000	0.6410	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=8 steer_token_position=completion
sp_ll_qa_l0.01_ep8_all	ll_qa	sparse	0.9500	0.9000	0.5400	0.7220	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=8 steer_token_position=all
sp_ll_qa_l0.01_ep16_completion	ll_qa	sparse	0.7900	0.8900	0.4200	0.6566	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=16 steer_token_position=completion
sp_ll_qa_l0.01_ep16_all	ll_qa	sparse	0.9400	0.9100	0.5100	0.7176	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=16 steer_token_position=all
sp_ll_qa_l0.03_ep8_completion	ll_qa	sparse	0.7800	0.9100	0.3600	0.5846	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=8 steer_token_position=completion
sp_ll_qa_l0.03_ep8_all	ll_qa	sparse	0.9300	0.8400	0.4500	0.6748	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=8 steer_token_position=all
sp_ll_qa_l0.03_ep16_completion	ll_qa	sparse	0.8000	0.9100	0.3500	0.6114	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=16 steer_token_position=completion
sp_ll_qa_l0.03_ep16_all	ll_qa	sparse	0.9000	0.8500	0.4500	0.6831	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=16 steer_token_position=all
