tag	cell	method	true	info	mc1	mc2	args
sp_ll_qa_l0_ep16_comp_ila1	ll_qa	sparse	0.8900	0.9100	0.4900	0.6757	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=completion gate_config.init_log_alpha=1
sp_ll_qa_l0.003_ep16_comp_ila1	ll_qa	sparse	0.8700	0.9300	0.5000	0.6829	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=completion gate_config.init_log_alpha=1
sp_ll_qa_l0.01_ep16_comp_ila1	ll_qa	sparse	0.8100	0.9500	0.4600	0.6742	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=16 steer_token_position=completion gate_config.init_log_alpha=1
sp_ll_qa_l0.03_ep16_comp_ila1	ll_qa	sparse	0.8400	0.9200	0.4100	0.6323	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=16 steer_token_position=completion gate_config.init_log_alpha=1
iti_ll_qa_a8	ll_qa	iti	0.7200	0.9300	0.3400	0.5656	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=8
iti_ll_qa_a15	ll_qa	iti	0.7600	0.9500	0.3600	0.5588	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=15
iti_ll_qa_a22	ll_qa	iti	0.7900	0.9100	0.3600	0.5280	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=22
iti_ll_qa_a30	ll_qa	iti	0.8300	0.5200	0.2400	0.4737	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=30
iti_ll_qa_k24	ll_qa	iti	0.7500	0.9300	0.3400	0.5749	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=24 iti_scale=15
iti_ll_qa_k96	ll_qa	iti	0.8300	0.8900	0.3200	0.5310	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=96 iti_scale=15
iti_ll_qa_k128	ll_qa	iti	0.8700	0.8600	0.3100	0.5134	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=128 iti_scale=15
iti_ll_qa_sigpf	ll_qa	iti	0.6000	0.9300	0.3400	0.5088	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=15 iti_sigma_position=prompt_final
sp_ll_ch_l0_ep8_completion	ll_ch	sparse	0.8800	0.9600	0.4900	0.6791	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=8 steer_token_position=completion
sp_ll_ch_l0_ep8_all	ll_ch	sparse	0.9100	0.9500	0.5500	0.7020	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=8 steer_token_position=all
sp_ll_ch_l0_ep16_completion	ll_ch	sparse	0.9400	0.9600	0.6100	0.7601	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=completion
sp_ll_ch_l0_ep16_all	ll_ch	sparse	0.9200	0.9700	0.5800	0.7545	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=all
sp_ll_ch_l0.003_ep8_completion	ll_ch	sparse	0.8800	0.9700	0.4900	0.6718	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=8 steer_token_position=completion
sp_ll_ch_l0.003_ep8_all	ll_ch	sparse	0.8900	0.9400	0.5300	0.6922	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=8 steer_token_position=all
sp_ll_ch_l0.003_ep16_completion	ll_ch	sparse	0.8900	0.9600	0.5500	0.7358	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=completion
sp_ll_ch_l0.003_ep16_all	ll_ch	sparse	0.8800	0.9700	0.5700	0.7375	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=all
sp_ll_ch_l0.01_ep8_completion	ll_ch	sparse	0.8500	0.9800	0.4400	0.6444	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=8 steer_token_position=completion
sp_ll_ch_l0.01_ep8_all	ll_ch	sparse	0.8900	0.9600	0.4600	0.6660	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=8 steer_token_position=all
sp_ll_ch_l0.01_ep16_completion	ll_ch	sparse	0.8900	0.9700	0.5200	0.6944	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=16 steer_token_position=completion
sp_ll_ch_l0.01_ep16_all	ll_ch	sparse	0.9000	0.9500	0.5400	0.7002	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=16 steer_token_position=all
sp_ll_ch_l0.03_ep8_completion	ll_ch	sparse	0.8200	0.9500	0.3900	0.5918	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=8 steer_token_position=completion
sp_ll_ch_l0.03_ep8_all	ll_ch	sparse	0.8400	0.9700	0.4400	0.6290	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=8 steer_token_position=all
sp_ll_ch_l0.03_ep16_completion	ll_ch	sparse	0.8000	0.9700	0.4200	0.6371	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=16 steer_token_position=completion
sp_ll_ch_l0.03_ep16_all	ll_ch	sparse	0.8400	0.9700	0.4700	0.6491	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=16 steer_token_position=all
sp_ll_ch_l0_ep16_comp_ila1	ll_ch	sparse	0.9600	0.9500	0.5500	0.7201	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=completion gate_config.init_log_alpha=1
sp_ll_ch_l0.003_ep16_comp_ila1	ll_ch	sparse	0.9000	1.0000	0.5400	0.7220	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=completion gate_config.init_log_alpha=1
sp_ll_ch_l0.01_ep16_comp_ila1	ll_ch	sparse	0.8700	0.9800	0.5200	0.7040	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=16 steer_token_position=completion gate_config.init_log_alpha=1
sp_ll_ch_l0.03_ep16_comp_ila1	ll_ch	sparse	0.8200	0.9500	0.4700	0.6570	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=16 steer_token_position=completion gate_config.init_log_alpha=1
iti_ll_ch_a8	ll_ch	iti	0.7600	0.9400	0.3100	0.5285	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=8
iti_ll_ch_a15	ll_ch	iti	0.7300	0.9500	0.3600	0.5846	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=15
iti_ll_ch_a22	ll_ch	iti	0.7400	0.9300	0.3700	0.5816	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=22
iti_ll_ch_a30	ll_ch	iti	0.7100	0.8800	0.3900	0.5932	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=30
iti_ll_ch_k24	ll_ch	iti	0.7500	0.9700	0.3200	0.5437	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=24 iti_scale=15
iti_ll_ch_k96	ll_ch	iti	0.7700	0.8800	0.3800	0.5787	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=96 iti_scale=15
iti_ll_ch_k128	ll_ch	iti	0.8000	0.8800	0.4000	0.6032	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=128 iti_scale=15
iti_ll_ch_sigpf	ll_ch	iti	0.6700	0.9400	0.3100	0.4988	method=iti extract_token_position=completion_final steer_token_position=completion iti_topk=48 iti_scale=15 iti_sigma_position=prompt_final
