cell	method	tag	stage	metric	value	delta_vs_unsteered
ll_qa	sparse	cap_fxmm_ll_qa_sp_ll_qa_l0.01_ep8_all	loglik-fx-mmlu	MMLU/ACC	0.4702	+0.0000
ll_qa	sparse	cap_fxmm_ll_qa_sp_ll_qa_l0_ep16_all	loglik-fx-mmlu	MMLU/ACC	0.4702	+0.0000
ll_qa	unsteered	cap_fxmm_ll_qa_uns	loglik-fx-mmlu	MMLU/ACC	0.4702	
qw_ch	iti	cap_gen_qw_ch_iti_qw_ch_k96	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.8810	-0.0120
qw_ch	sparse	cap_gen_qw_ch_sp_qw_ch_l0.003_ep16_all	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.8880	-0.0050
qw_ch	sparse	cap_gen_qw_ch_sp_qw_ch_l0.01_ep8_all	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.8930	+0.0000
qw_ch	sparse	cap_gen_qw_ch_sp_qw_ch_l0.01_ep8_completion	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.8880	-0.0050
qw_ch	unsteered	cap_gen_qw_ch_uns	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.8930	
qw_ch	iti	cap_gen_qw_ch_iti_qw_ch_k96	generative	MMLU/CHOICE/ACCURACY	0.6770	-0.0070
qw_ch	sparse	cap_gen_qw_ch_sp_qw_ch_l0.003_ep16_all	generative	MMLU/CHOICE/ACCURACY	0.6790	-0.0050
qw_ch	sparse	cap_gen_qw_ch_sp_qw_ch_l0.01_ep8_all	generative	MMLU/CHOICE/ACCURACY	0.6770	-0.0070
qw_ch	sparse	cap_gen_qw_ch_sp_qw_ch_l0.01_ep8_completion	generative	MMLU/CHOICE/ACCURACY	0.6800	-0.0040
qw_ch	unsteered	cap_gen_qw_ch_uns	generative	MMLU/CHOICE/ACCURACY	0.6840	
qw_ch	iti	cap_ctaw_qw_ch_iti_qw_ch_k96	loglik-ct-arcwiki	ARC_CHALLENGE/ACC	0.4198	-0.0384
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.003_ep16_all	loglik-ct-arcwiki	ARC_CHALLENGE/ACC	0.4420	-0.0162
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.01_ep8_all	loglik-ct-arcwiki	ARC_CHALLENGE/ACC	0.4462	-0.0120
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.01_ep8_completion	loglik-ct-arcwiki	ARC_CHALLENGE/ACC	0.4556	-0.0026
qw_ch	unsteered	cap_ctaw_qw_ch_uns	loglik-ct-arcwiki	ARC_CHALLENGE/ACC	0.4582	
qw_ch	iti	cap_ctaw_qw_ch_iti_qw_ch_k96	loglik-ct-arcwiki	ARC_CHALLENGE/ACC_NORM	0.3976	-0.0341
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.003_ep16_all	loglik-ct-arcwiki	ARC_CHALLENGE/ACC_NORM	0.4224	-0.0093
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.01_ep8_all	loglik-ct-arcwiki	ARC_CHALLENGE/ACC_NORM	0.4189	-0.0128
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.01_ep8_completion	loglik-ct-arcwiki	ARC_CHALLENGE/ACC_NORM	0.4317	+0.0000
qw_ch	unsteered	cap_ctaw_qw_ch_uns	loglik-ct-arcwiki	ARC_CHALLENGE/ACC_NORM	0.4317	
qw_ch	iti	cap_ctaw_qw_ch_iti_qw_ch_k96	loglik-ct-arcwiki	WIKITEXT/BITS_PER_BYTE	0.6861	+0.0636
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.003_ep16_all	loglik-ct-arcwiki	WIKITEXT/BITS_PER_BYTE	0.7084	+0.0859
qw_ch	sparse	cap_ctaw_qw_ch_sp_qw_ch_l0.01_ep8_all	loglik-ct-arcwiki	WIKITEXT/BITS_PER_BYTE	0.6859	+0.0634
